station_id,elev_min,elev_max,elev_mean,elev_range,mean_slope_pct,upsdist,strdensity,strahler,elongratio,relief,reliefratio,mrvbf_prop_0,mrvbf_prop_1,mrvbf_prop_2,mrvbf_prop_3,mrvbf_prop_4,mrvbf_prop_5,mrvbf_prop_6,mrvbf_prop_7,mrvbf_prop_8,mrvbf_prop_9,confinement
116013A,650,1379.570435,911.2263184,729.570435,11.81,48.8621864,0.974096,4,0.411526,0.3705571,0.0152278,0.6362,0.107,0.1525,0.0908,0.0107,0.003,0,0,0,0,1
116014A,644,1234.453735,891.5519409,590.453735,13.65,56.1756325,0.9969575,5,0.4882565,0.4266817,0.010647,0.6595,0.097,0.1497,0.0841,0.0086,0.0011,0,0,0,0,0.75
116015A,668,1058.915649,771.6380615,390.915649,12.71,30.2103806,0.9890575,3,0.4224783,0.2769469,0.0131515,0.6585,0.121,0.139,0.0801,0.0014,0,0,0,0,0,1
121001A,81,797.5258179,268.2931519,716.5258179,13.15,46.3854141,0.8525319,4,0.5965962,0.2638552,0.0154989,0.5933,0.0707,0.1421,0.1701,0.0212,0.0026,0,0,0,0,0.84
122004A,29,740.9733887,245.4819183,711.9733887,29.43,11.9732122,0.8008513,3,0.637135,0.3050888,0.059552,0.8207,0.0394,0.0444,0.0307,0.0609,0.004,0,0,0,0,1
126003A,18,540.4606323,180.1323853,522.4606323,21.99,19.6864357,0.9739465,4,0.5374547,0.309658,0.0265135,0.7423,0.0623,0.0804,0.101,0.014,0,0,0,0,0,1
136202D,305,732.7839355,438.6790466,427.7839355,11.48,83.128952,0.7232212,4,0.3512242,0.3393854,0.0053555,0.6419,0.1231,0.1489,0.0795,0.0065,0.0001,0,0,0,0,0.72
136203A,377,1108.824463,584.975769,731.824463,13.97,41.7450676,0.5553731,4,0.4810213,0.2873181,0.0176078,0.6825,0.1111,0.1396,0.0565,0.0081,0.002,0,0,0,0,0.63
136208A,169,638.932251,299.5849915,469.932251,12.12,81.3923645,0.686498,5,0.5207509,0.3018135,0.0059716,0.6216,0.1134,0.1408,0.0851,0.0303,0.0086,0.0001,0,0,0,0.95
137101A,47,658.6777344,123.7148361,611.6777344,5.32,77.8519211,0.8891844,4,0.3090959,0.1355439,0.007949,0.4473,0.0424,0.1665,0.3147,0.0188,0.0065,0.0038,0,0,0,0.37
137201A,19,340.4396362,81.249939,321.4396362,5.39,45.0760574,0.7521214,4,0.5417154,0.2012477,0.0071988,0.4651,0.0601,0.1853,0.2714,0.0122,0.0036,0.0023,0,0,0,0.29
138004B,46,727.2301636,187.2258606,681.2301636,12.88,97.9977112,0.9410785,5,0.3976964,0.2218112,0.007081,0.6086,0.0743,0.1499,0.1505,0.0098,0.0049,0.0021,0,0,0,1
138009A,63,381.1811829,148.3703918,318.1811829,14.96,24.7797832,0.8243865,3,0.4608453,0.2509403,0.0125426,0.6633,0.0961,0.121,0.0966,0.0198,0.0031,0,0,0,0,0.61
138010A,117,702.7022095,290.9729309,585.7022095,13.32,37.3987579,0.7099116,4,0.5681629,0.3006661,0.0157424,0.6293,0.0974,0.1396,0.0918,0.0313,0.0106,0,0,0,0,0.81
138113A,82,678.1188965,299.0943604,596.1188965,21.98,45.6790085,0.7769684,3,0.331057,0.3675157,0.013119,0.7907,0.085,0.0839,0.0384,0.002,0,0,0,0,0,1
143009A,89,979.5814819,388.0463867,890.5814819,14.97,153.8766785,0.6910314,5,0.4568041,0.3378399,0.0058056,0.6924,0.1131,0.1304,0.0574,0.006,0.0008,0,0,0,0,1
143110A,79,879.8816528,206.5794678,800.8816528,13.28,27.3041248,1.0515789,3,0.4759038,0.1712745,0.0297558,0.5726,0.0743,0.1285,0.1107,0.07,0.044,0,0,0,0,0.75
143303A,135,542.2855835,223.1925049,407.2855835,13.55,26.5919571,0.7906488,3,0.4551719,0.2907726,0.0169193,0.6499,0.0865,0.1074,0.1273,0.015,0.014,0,0,0,0,1
145010A,99,1001.968567,445.1916809,902.968567,29.73,37.2936859,0.8142431,3,0.3440494,0.3831691,0.0242036,0.8727,0.0595,0.0465,0.0195,0.0018,0,0,0,0,0,1
145011A,168,1326.514893,427.2130432,1158.514893,19.27,19.1214104,0.7779263,3,0.5445681,0.222674,0.0605038,0.7553,0.1029,0.09,0.0438,0.008,0,0,0,0,0,1
145018A,229,1243.466553,535.833313,1014.466553,27.66,20.0381088,0.8916323,3,0.5163749,0.3026805,0.050643,0.8643,0.0751,0.0463,0.0141,0.0002,0,0,0,0,0,1
